"","id","oid","ind","alt","block","card","plants","native","pollin","appear","cost","choice","sq","city","Income","sur","type","freqv","timev","travelt","PlantGuess","plrich","NativeGuess","natper","ColourGuess","PollinGuess","Gender","age","AgeLevel","Education","Employment","CNS_ScaleMean","Charity","park...34","park...35","visittime","traveltime","dogs","adults","child","Task","plantsA","plantsB","plantsC","plantsD","nativeA","nativeB","nativeC","nativeD","pollinA","pollinB","pollinC","pollinD","appearA","appearB","appearC","appearD","costA","costB","costC","costD","ID"
"8172",8652,361,341,4,2,7,0,0,0,0,0,1,1,3,36400,2,1,2,5,5,1,3,100,0.74375,2,1,0,2,25,5,1,4.538461538,0,"Inch_Park_Control",7,5,5,0,2,1,3,0,2,0,0,0,-1,0,0,1,2,1,0,0,0,3,0,10,60,5,0,341
"8176",8656,361,341,4,2,8,0,0,0,0,0,1,1,3,36400,2,1,2,5,5,1,3,100,0.74375,2,1,0,2,25,5,1,4.538461538,0,"Inch_Park_Control",7,5,5,0,2,1,4,2,0,1,0,-1,1,-1,0,2,1,0,0,2,1,1,0,20,10,20,0,341
"8180",8660,361,341,4,2,10,0,0,0,0,0,1,1,3,36400,2,1,2,5,5,1,3,100,0.74375,2,1,0,2,25,5,1,4.538461538,0,"Inch_Park_Control",7,5,5,0,2,1,5,0,1,2,0,1,0,-1,0,2,0,1,0,3,0,1,0,60,0,20,0,341
"8184",8664,361,341,4,2,11,0,0,0,0,0,1,1,3,36400,2,1,2,5,5,1,3,100,0.74375,2,1,0,2,25,5,1,4.538461538,0,"Inch_Park_Control",7,5,5,0,2,1,6,0,2,0,0,0,-1,0,0,1,2,1,0,0,0,3,0,10,60,5,0,341
"8186",8666,362,342,2,2,3,0,-1,0,2,10,1,0,3,20800,2,2,5,10,15,11,24,75,0.6818182,2,5,0,5,55,6,1,6.461538462,0,"Pilrig_Perrenial",12,10,15,0,2,0,1,0,1,2,0,1,0,-1,0,2,0,1,0,3,0,1,0,60,0,20,0,342
"8191",8671,362,342,3,2,6,0,-1,2,2,5,1,0,3,20800,2,2,5,10,15,11,24,75,0.6818182,2,5,0,5,55,6,1,6.461538462,0,"Pilrig_Perrenial",12,10,15,0,2,0,2,1,0,2,0,0,1,0,0,1,1,1,0,2,1,2,0,20,60,5,0,342
"8193",8673,362,342,1,2,7,1,1,0,1,5,1,0,3,20800,2,2,5,10,15,11,24,75,0.6818182,2,5,0,5,55,6,1,6.461538462,0,"Pilrig_Perrenial",12,10,15,0,2,0,3,0,1,1,0,0,-1,1,0,0,2,0,0,1,2,0,0,0,5,40,0,342
"8197",8677,362,342,1,2,8,1,-1,1,1,40,1,0,3,20800,2,2,5,10,15,11,24,75,0.6818182,2,5,0,5,55,6,1,6.461538462,0,"Pilrig_Perrenial",12,10,15,0,2,0,4,1,0,2,0,0,1,0,0,1,1,1,0,2,1,2,0,20,60,5,0,342
"8202",8682,362,342,2,2,10,2,0,1,3,20,1,0,3,20800,2,2,5,10,15,11,24,75,0.6818182,2,5,0,5,55,6,1,6.461538462,0,"Pilrig_Perrenial",12,10,15,0,2,0,5,0,2,0,0,0,-1,0,0,1,2,1,0,0,0,3,0,10,60,5,0,342
"8205",8685,362,342,1,2,11,1,1,0,3,5,1,0,3,20800,2,2,5,10,15,11,24,75,0.6818182,2,5,0,5,55,6,1,6.461538462,0,"Pilrig_Perrenial",12,10,15,0,2,0,6,0,1,1,0,0,-1,1,0,0,2,0,0,1,2,0,0,0,5,40,0,342
